Country Name,Country Code,Series Name,Series Code,2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,274.000486471348,375.078128065393,387.849174300047,443.845150536332,554.595200222354,621.912310861592,663.141052810937
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2972.74292399799,3595.03805682893,4370.5399247769,4114.13489916342,4094.34838574494,4437.14261222684,4247.63004748194
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,3500.13541289238,3971.80348828223,4946.56401720759,3898.47970014449,4495.92044814301,5473.2805504316,5610.73089400516
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,8673.92719531291,9187.16634446553,10019.502245442,12191.5977314597,10446.8632062572,10495.3047320935,11920.0610903131
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,43086.499827003,50565.4564814851,53719.421266769,49753.6906002629,48238.4660955595,51429.1919196159,44904.5800426279
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2597.96268151603,3121.35047480325,4081.71500392279,3123.69758573592,3496.78479608032,4511.15322719034,4962.55207190082
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,14310.6862347854,16006.1361107498,16457.1040632589,14530.5986896353,13404.5160161036,13117.1469408968,13686.4765853976
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,5890.97800169795,7210.59554755899,8977.50685093365,8184.38988923991,10385.9644319555,12848.8641969705,13082.664325572
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2109.52623145856,3064.28010596357,3908.94906011431,2917.366129424,3143.02920239019,3462.6816110805,3643.71518342262
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,25833.445623022,27665.4264651752,29011.5592450359,25739.1372506975,24452.9283634427,26044.4359333351,25609.9557239373
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,36570.7203684146,41023.7548562293,49679.1805279842,42810.331655139,52134.3088504199,62596.4321748915,68044.714816234
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,40669.3269586152,46915.3374004507,51919.9835754226,48153.3240199631,46903.7615854343,51442.2762464407,48564.9173350875
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,2473.08181863536,3851.43786871172,5574.60380218613,4950.29479142375,5843.5337683582,7189.69122920765,7496.29464768263
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,28829.8493750425,29687.865215033,29013.6302870767,27120.6905452145,27046.6576651879,26644.9265775896,28059.6553953426
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,19057.7989047138,20883.5480311994,23155.821449155,19448.1832553789,21186.8143292279,23741.5574626702,25102.726348527
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,503.538332188534,552.338934530705,630.108979202923,698.521026204513,776.859576940281,856.381586098739,876.817545058129
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,15595.6394564112,17219.0486803908,17550.6633410971,16310.4605337648,16489.7958217909,16907.2092592727,16691.3326357636
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,3847.43412382153,4735.65760793999,6377.36973201232,5352.5839116007,6033.6862392722,6527.17386871642,6953.13251493684
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,38705.1067959147,44319.165448813,48303.397956286,44760.2912443709,44184.946353964,47410.5669277464,44670.5606845101
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,5475.72290971811,5707.11336494231,5656.40836062302,5348.9978387566,5397.29157482319,5521.36627642336,5645.89582239311
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,837.132042511019,944.64320765254,1098.94677969563,1061.71841147116,1009.48949433002,1099.4143113919,1112.56953520687
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,95221.8588720301,104287.387498459,106935.486341979,101407.764031934,101875.28407346,97774.1620717428,98431.8651810241
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,1299.63148798551,1714.03245331377,1780.11153624251,1768.7447387239,2194.12645186194,2491.27167707216,2470.07367669349
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,1200.07058848844,1351.04292545957,1687.58339321012,1725.14628617645,1922.0495309392,2304.96983521132,2562.46678423329
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,3170.11784995261,3936.94001256103,4846.77642113418,4542.28263659833,4507.05443324588,4981.03568097896,4688.37662297884
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,5142.91383354359,5372.34073174354,5345.81586339872,4938.27889306626,6041.75428437206,7080.81281326927,6393.00826546062
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,5866.09622382995,7323.03362855509,8801.59948420962,8570.02256200077,11249.464543278,13200.7850823986,12327.3174365132
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,30768.3928512181,32337.3172854504,37426.6685438881,27496.9608498461,34609.9404298761,46139.5844090516,46842.9602563885
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,4523.0508329806,5888.77685220636,7271.39583653299,6988.23342017279,6853.00285388669,7849.16528274432,7432.47876568071
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,457.342096738754,516.750347904292,621.890328967402,603.877575094504,627.270347532954,727.6125146559,733.972934218398
