"X1","X2","X3"
395,"default",2006-11-16
1267,"default",2007-04-16
1451,"default",2007-04-16
1596,"default",2007-04-16
1599,"default",2007-04-16
1610,"default",2007-04-16
1706,"default",2007-05-16
1707,"default",2007-04-16
1782,"default",2007-06-16
1789,"default",2007-05-16
1916,"default",2007-05-16
1936,"default",2007-06-16
1963,"default",2007-05-16
1969,"default",2007-05-16
1970,"default",2007-05-16
1972,"default",2007-05-16
1983,"default",2007-06-16
2027,"default",2007-05-16
2031,"default",2007-05-16
2045,"default",2007-05-16
2065,"default",2007-05-16
2099,"default",2007-05-16
2107,"default",2007-05-16
2109,"default",2007-05-16
2131,"default",2007-05-16
2145,"default",2007-05-16
2213,"default",2007-05-16
2236,"default",2007-05-16
2237,"default",2007-05-16
2280,"default",2007-05-16
2308,"default",2007-05-16
2310,"default",2007-06-16
2312,"default",2007-05-16
2315,"default",2007-05-16
2318,"default",2007-05-16
2334,"default",2007-05-16
2335,"default",2007-05-16
2338,"default",2007-05-16
2339,"default",2007-05-16
2340,"default",2007-06-16
2561,"default",2007-05-16
2565,"default",2007-06-16
2720,"default",2007-06-16
2766,"default",2007-06-16
2848,"default",2007-06-16
2850,"default",2007-06-16
3063,"default",2007-07-16
3102,"default",2007-06-16
3233,"default",2007-06-16
3334,"default",2007-06-16
3337,"default",2007-06-16
3384,"default",2007-06-16
3513,"default",2007-06-16
3516,"default",2007-06-16
3517,"default",2007-06-16
3518,"default",2007-06-16
3597,"default",2007-06-16
3599,"default",2007-06-16
3786,"default",2007-07-16
3800,"default",2007-06-16
3815,"default",2007-07-16
3816,"default",2007-07-16
3858,"default",2007-07-16
3864,"default",2007-07-16
3867,"default",2007-07-16
3876,"default",2007-07-16
3877,"default",2007-07-16
3904,"default",2007-07-16
3905,"default",2007-07-16
3959,"default",2007-07-16
3967,"default",2007-07-16
3968,"default",2007-07-16
4107,"default",2007-07-16
4108,"default",2007-07-16
4314,"default",2007-07-16
4383,"default",2007-07-16
4385,"default",2007-07-16
4407,"default",2007-07-16
4424,"default",2007-07-16
4437,"default",2007-07-16
4439,"default",2007-07-16
4786,"default",2007-08-16
4792,"default",2007-08-16
4847,"default",2007-09-16
4854,"default",2007-09-16
4865,"default",2007-08-16
4925,"default",2007-08-16
4931,"default",2007-08-16
4981,"default",2007-08-16
4990,"default",2007-08-16
4993,"default",2007-08-16
5006,"default",2007-08-16
5154,"default",2007-08-16
5221,"default",2007-08-16
5222,"default",2007-08-16
5294,"default",2007-08-16
5295,"default",2007-08-16
5564,"default",2007-08-16
5717,"default",2007-09-16
5769,"default",2007-10-16
5812,"default",2007-08-16
5818,"default",2007-08-16
5857,"default",2007-09-16
5871,"default",2007-09-16
5944,"default",2007-09-16
5968,"default",2007-09-16
5983,"default",2007-09-16
5999,"default",2007-09-16
6078,"default",2007-08-16
6087,"default",2007-08-16
6093,"default",2007-09-16
6094,"default",2007-08-16
6178,"default",2007-09-16
6190,"default",2007-09-16
6219,"default",2007-09-16
6223,"default",2007-09-16
6366,"default",2007-09-16
6371,"default",2007-09-16
6375,"default",2007-09-16
6489,"default",2007-09-16
6671,"default",2007-09-16
6674,"default",2007-09-16
6839,"default",2007-09-16
6883,"default",2007-09-16
6885,"default",2007-09-16
6898,"default",2007-09-16
6928,"default",2007-09-16
6929,"default",2007-09-16
7128,"default",2007-09-16
7497,"default",2007-09-16
7501,"default",2007-09-16
7504,"default",2007-09-16
7510,"default",2007-09-16
7697,"default",2007-10-16
7703,"default",2007-10-16
7706,"default",2007-10-16
7720,"default",2007-11-16
7763,"default",2007-09-16
7768,"default",2007-09-16
7770,"default",2007-09-16
7779,"default",2007-09-16
7818,"default",2007-09-16
7823,"default",2007-09-16
7857,"default",2007-09-16
7870,"default",2007-09-16
7877,"default",2007-09-16
7882,"default",2007-09-16
7888,"default",2007-09-16
7933,"default",2007-09-16
7934,"default",2007-09-16
8066,"default",2007-10-16
8070,"default",2007-09-16
8072,"default",2007-09-16
8077,"default",2007-10-16
8080,"default",2007-10-16
8102,"default",2007-10-16
8176,"default",2007-09-16
8183,"default",2007-09-16
8184,"default",2007-09-16
8197,"default",2007-09-16
8204,"default",2007-09-16
8207,"default",2007-09-16
8212,"default",2007-09-16
8275,"default",2007-10-16
8290,"default",2007-10-16
8745,"default",2007-11-16
8814,"default",2007-10-16
8838,"default",2007-11-16
9037,"default",2007-11-16
9043,"default",2007-11-16
9352,"default",2007-10-16
9353,"default",2007-10-16
9355,"default",2007-10-16
9357,"default",2007-10-16
9361,"default",2007-10-16
9380,"default",2007-10-16
9439,"default",2007-10-16
9445,"default",2007-10-16
9447,"default",2007-11-16
9480,"default",2007-11-16
9485,"default",2007-10-16
9530,"default",2007-11-16
9531,"default",2007-10-16
9611,"default",2007-10-16
9613,"default",2007-10-16
9616,"default",2007-10-16
9623,"default",2007-10-16
9626,"default",2007-10-16
9711,"default",2007-10-16
9720,"default",2007-10-16
9724,"default",2007-10-16
9795,"default",2007-11-16
10077,"default",2007-12-16
10082,"default",2007-11-16
10167,"default",2007-11-16
10449,"default",2007-11-16
10457,"default",2007-11-16
10504,"default",2007-11-16
10656,"default",2007-11-16
10758,"default",2007-11-16
10796,"default",2007-12-16
10802,"default",2007-12-16
10829,"default",2007-11-16
11018,"default",2007-11-16
11021,"default",2007-11-16
11033,"default",2007-11-16
11113,"default",2007-11-16
11862,"default",2007-12-16
12081,"default",2007-12-16
12155,"default",2007-11-16
12177,"default",2007-11-16
12366,"default",2007-12-16
12417,"default",2007-12-16
12877,"default",2008-01-16
12937,"default",2008-01-16
12940,"default",2008-01-16
13086,"default",2007-12-16
13089,"default",2007-12-16
13101,"default",2008-01-16
13123,"default",2007-12-16
13195,"default",2007-12-16
13208,"default",2007-12-16
13395,"default",2007-12-16
13400,"default",2007-12-16
13606,"default",2007-12-16
13864,"default",2007-12-16
13876,"default",2007-12-16
14047,"default",2008-01-16
14136,"default",2007-12-16
14138,"default",2007-12-16
14389,"default",2008-01-16
14488,"default",2008-01-16
14540,"default",2008-01-16
14544,"default",2008-01-16
14772,"default",2008-01-16
15032,"default",2008-01-16
15049,"default",2008-01-16
15338,"default",2008-01-16
15343,"default",2008-01-16
15639,"default",2008-02-16
15667,"default",2008-02-16
15698,"default",2008-01-16
15746,"default",2008-02-16
15821,"default",2008-02-16
15822,"default",2008-02-16
15836,"default",2008-02-16
16259,"default",2008-02-16
16335,"default",2008-02-16
16581,"default",2008-02-16
16583,"default",2008-02-16
16592,"default",2008-02-16
16593,"default",2008-02-16
16616,"default",2008-03-16
16810,"default",2008-02-16
