"","X1","X2","X3"
"1",328,"default",2007-01-16
"2",356,"default",2007-01-16
"3",368,"default",2007-01-16
"4",371,"default",2007-01-16
"5",373,"not default",NA
"6",376,"not default",NA
"7",387,"not default",NA
"8",388,"not default",NA
"9",391,"default",2007-02-16
"10",395,"default",2007-02-16
"11",414,"default",2007-04-16
"12",439,"default",2007-02-16
"13",454,"not default",NA
"14",457,"not default",NA
"15",458,"not default",NA
"16",474,"default",2007-03-16
"17",478,"default",2007-02-16
"18",486,"default",2007-03-16
"19",493,"default",2007-03-16
"20",498,"not default",NA
"21",517,"not default",NA
"22",539,"not default",NA
"23",552,"not default",NA
"24",553,"not default",NA
"25",554,"not default",NA
"26",557,"default",2007-03-16
"27",562,"not default",NA
"28",567,"not default",NA
"29",579,"default",2007-04-16
"30",621,"default",2007-04-16
"31",655,"default",2007-05-16
"32",684,"not default",NA
"33",713,"not default",NA
"34",719,"not default",NA
"35",730,"default",2007-05-16
"36",746,"not default",NA
"37",800,"not default",NA
"38",813,"not default",NA
"39",816,"not default",NA
"40",825,"not default",NA
"41",887,"default",2007-06-16
"42",902,"not default",NA
"43",920,"default",2007-06-16
"44",929,"default",2007-06-16
"45",940,"default",2007-07-16
"46",942,"default",2007-07-16
"47",946,"default",2007-06-16
"48",948,"default",2007-06-16
"49",997,"not default",NA
"50",1015,"default",2007-07-16
"51",1027,"not default",NA
"52",1030,"default",2007-07-16
"53",1075,"not default",NA
"54",1078,"not default",NA
"55",1083,"default",2007-07-16
"56",1103,"not default",NA
"57",1106,"default",2007-07-16
"58",1121,"default",2007-07-16
"59",1122,"not default",NA
"60",1124,"default",2007-07-16
"61",1127,"not default",NA
"62",1135,"not default",NA
"63",1140,"not default",NA
"64",1142,"not default",NA
"65",1144,"not default",NA
"66",1145,"default",2007-07-16
"67",1147,"default",2007-07-16
"68",1155,"not default",NA
"69",1158,"not default",NA
"70",1173,"not default",NA
"71",1175,"not default",NA
"72",1178,"default",2007-07-16
"73",1179,"default",2007-07-16
"74",1180,"default",2007-07-16
"75",1182,"not default",NA
