"","X1","X2","X3"
"1",328,"paid",2007-07-16
"2",356,"not paid",NA
"3",368,"paid",2007-03-16
"4",371,"paid",2007-05-16
"5",373,"paid",2007-01-16
"6",376,"paid",2007-01-16
"7",387,"paid",2007-07-16
"8",388,"paid",2007-07-16
"9",391,"paid",2008-02-16
"10",395,"not paid",NA
"11",414,"paid",2007-10-16
"12",439,"paid",2007-08-16
"13",454,"paid",2007-08-16
"14",457,"paid",2007-08-16
"15",458,"paid",2007-08-16
"16",474,"paid",2007-07-16
"17",478,"not paid",NA
"18",486,"paid",2007-09-16
"19",493,"not paid",NA
"20",498,"not paid",NA
"21",517,"paid",2007-10-16
"22",539,"not paid",NA
"23",552,"paid",2007-04-16
"24",553,"paid",2007-04-16
"25",554,"paid",2007-04-16
"26",557,"paid",2007-09-16
"27",562,"not paid",NA
"28",567,"not paid",NA
"29",579,"paid",2007-08-16
"30",621,"paid",2007-08-16
"31",655,"paid",2007-11-16
"32",684,"not paid",NA
"33",713,"paid",2007-05-16
"34",719,"not paid",NA
"35",730,"not paid",NA
"36",746,"paid",2007-11-16
"37",800,"not paid",NA
"38",813,"paid",2007-11-16
"39",816,"paid",2007-12-16
"40",825,"paid",2007-06-16
"41",887,"paid",2007-10-16
"42",902,"paid",2007-06-16
"43",920,"not paid",NA
"44",929,"paid",2007-10-16
"45",940,"not paid",NA
"46",942,"not paid",NA
"47",946,"paid",2007-08-16
"48",948,"paid",2007-08-16
"49",997,"paid",2007-07-16
"50",1015,"not paid",NA
"51",1027,"paid",2007-07-16
"52",1030,"paid",2008-01-16
"53",1075,"paid",2007-07-16
"54",1078,"paid",2007-07-16
"55",1083,"not paid",NA
"56",1103,"paid",2007-07-16
"57",1106,"paid",2008-01-16
"58",1121,"not paid",NA
"59",1122,"not paid",NA
"60",1124,"not paid",NA
"61",1127,"not paid",NA
"62",1135,"paid",2007-04-16
"63",1140,"paid",2007-06-16
"64",1142,"paid",2007-07-16
"65",1144,"paid",2007-07-16
"66",1145,"paid",2008-01-16
"67",1147,"paid",2008-01-16
"68",1155,"paid",2007-07-16
"69",1158,"paid",2007-07-16
"70",1173,"paid",2007-07-16
"71",1175,"paid",2007-07-16
"72",1178,"paid",2008-01-16
"73",1179,"paid",2008-03-16
"74",1180,"paid",2008-01-16
"75",1182,"not paid",NA
"76",1187,"not paid",NA
"77",1188,"not paid",NA
"78",1199,"paid",2007-07-16
"79",1200,"paid",2007-07-16
"80",1216,"paid",2007-06-16
"81",1243,"paid",2007-07-16
"82",1249,"paid",2008-01-16
"83",1254,"not paid",NA
"84",1256,"not paid",NA
"85",1258,"not paid",NA
"86",1264,"paid",2008-01-16
"87",1267,"not paid",NA
"88",1293,"paid",2007-05-16
"89",1312,"paid",2007-07-16
"90",1337,"paid",2007-11-16
"91",1341,"paid",2007-11-16
"92",1343,"paid",2007-07-16
"93",1345,"paid",2007-09-16
"94",1348,"paid",2007-04-16
"95",1349,"paid",2007-04-16
"96",1377,"paid",2007-07-16
"97",1386,"paid",2007-07-16
"98",1390,"paid",2007-11-16
"99",1391,"paid",2007-07-16
"100",1393,"paid",2008-01-16
"101",1414,"paid",2007-09-16
"102",1420,"paid",2007-07-16
"103",1427,"not paid",NA
"104",1447,"not paid",NA
"105",1451,"not paid",NA
"106",1459,"not paid",NA
